Beam	Node	X	Y	Z
Beam_281	20484	0.013314	0.032804	0.027833
Beam_281	20540	0.0095141	0.032807	0.028866
Beam_281	20549	0.015212	0.031316	0.028471
Beam_281	20523	0.016629	0.029932	0.028072
Beam_281	20507	0.0071214	0.031179	0.027394
Beam_281	20503	0.0019007	0.033798	0.028081
Beam_281	20527	0.0071214	0.031179	0.028432
Beam_281	20530	0.0019007	0.033798	0.029109
Beam_281	20491	0.0023814	0.034673	0.028286
Beam_281	24622	0.0095	0.035803	0.029044
Beam_281	24619	0.019	0.035803	0.029044
Beam_281	20514	0.011879	0.031179	0.027394
Beam_281	20506	0.0095	0.031803	0.027567
Beam_281	20544	0.013314	0.032804	0.028865
Beam_281	20494	0.016626	0.034673	0.028286
Beam_281	20543	0.0023814	0.034673	0.029312
Beam_281	20498	0.0056939	0.031804	0.027568
Beam_281	20508	0.0047491	0.030556	0.027214
Beam_281	20512	0.016629	0.029932	0.027027
Beam_281	20537	0.016626	0.034673	0.029312
Beam_281	20528	0.0047491	0.030556	0.028256
Beam_281	20525	0.011879	0.031179	0.028432
Beam_281	20483	0.011422	0.032308	0.027703
Beam_281	20481	0.015212	0.031316	0.027432
Beam_281	20546	0.017104	0.033799	0.02911
Beam_281	20534	0.005694	0.031804	0.028604
Beam_119	16597	0.015209	0.012301	0.018801
Beam_119	16661	0.015213	0.010315	0.018674
Beam_119	16608	0.011876	0.012427	0.018883
Beam_119	16598	0.017099	0.012798	0.019122
Beam_119	16643	0.0037994	0.012299	0.01999
Beam_119	16653	0.0071452	0.012427	0.020072
Beam_119	16638	0.0095	0.010803	0.019007
Beam_119	16655	0.0023877	0.013672	0.020845
Beam_119	16593	0.015213	0.010315	0.017456
Beam_119	16600	0.0095141	0.011807	0.018476
Beam_119	24702	0.01425	0.014802	0.020937
Beam_119	16654	0.0047599	0.013051	0.020464
Beam_119	16601	0.0071453	0.012427	0.018883
Beam_119	16626	0.011886	0.010177	0.017358
Beam_119	16607	0.014254	0.013051	0.019283
Beam_119	16635	0.016637	0.0089301	0.017696
Beam_119	16620	0.0047461	0.0095554	0.016914
Beam_119	16640	0.0047463	0.0095555	0.018144
Beam_119	16625	0.014254	0.0095554	0.016914
Beam_119	16636	0.014254	0.0095555	0.018144
Beam_119	16617	0.0057026	0.0118	0.018471
Beam_119	16642	0.0019048	0.012796	0.020305
Beam_119	16649	0.016619	0.013672	0.020845
Beam_119	16606	0.016619	0.013672	0.019672
Beam_119	16637	0.011886	0.010177	0.018579
Beam_119	16657	0.015209	0.012301	0.019992
Beam_119	16615	0.0019049	0.012796	0.019121
Beam_119	16609	0.0075949	0.011303	0.018138
Beam_119	16594	0.013323	0.01081	0.017801
Beam_119	16645	0.0075949	0.011303	0.019342
Beam_119	16662	0.013323	0.01081	0.019011
Beam_119	16660	0.017112	0.0098185	0.018329
Beam_119	16624	0.016637	0.00893	0.016456
Beam_119	16644	0.0057025	0.0118	0.019668
Beam_119	16618	0.0095	0.010803	0.017796
Beam_119	16592	0.017113	0.0098184	0.017103
Beam_119	16658	0.017099	0.012798	0.020306
Beam_119	16656	0.01331	0.011803	0.01967
Beam_119	16621	0.0023633	0.00893	0.016456
Beam_119	24700	0.019	0.014802	0.020937
Beam_119	24701	0.0	0.014802	0.020937
Beam_119	16603	0.0023878	0.013672	0.019672
Beam_119	24704	0.00475	0.014802	0.020937
Beam_119	16611	0.0037951	0.010306	0.017449
Beam_119	24703	0.0095	0.014802	0.020937
Beam_119	16646	0.0056894	0.010803	0.019007
Beam_119	16647	0.0037953	0.010306	0.018668
Beam_119	16652	0.0095141	0.011807	0.019673
Beam_119	16610	0.0056893	0.010803	0.017796
Beam_119	16639	0.007114	0.010177	0.018579
Beam_119	16619	0.0071139	0.010177	0.017358
Beam_119	16595	0.011422	0.011308	0.018141
Beam_119	16596	0.01331	0.011803	0.018473
Beam_119	16616	0.0037995	0.012299	0.0188
Beam_119	16602	0.00476	0.013051	0.019283
Beam_119	16659	0.011422	0.011308	0.019345
Beam_119	16650	0.014254	0.013051	0.020464
Beam_119	16651	0.011876	0.012427	0.020072
Beam_119	16641	0.0023635	0.0089301	0.017696
Beam_2	24754	0.039	0.00080961	0.010193
Beam_2	24755	0.02	0.00080961	0.010193
Beam_2	24757	0.0295	0.00080961	0.010193
Beam_2	24758	0.02475	0.00080961	0.010193
Beam_2	24756	0.03425	0.00080961	0.010193
Beam_68	15122	0.031422	0.0043075	0.012713
Beam_68	15156	0.031422	0.0043075	0.01404
Beam_68	15131	0.037096	0.0057968	0.013992
Beam_68	15106	0.029514	0.0048068	0.01315
Beam_68	24728	0.02	0.0078019	0.016231
Beam_68	15116	0.021888	0.0028053	0.011346
Beam_68	15155	0.037097	0.0057968	0.015288
Beam_68	15182	0.025705	0.004799	0.01446
Beam_68	15179	0.031088	0.0052198	0.014813
Beam_68	15174	0.031092	0.0033853	0.013232
Beam_68	15137	0.021574	0.0017229	0.010308
Beam_68	15120	0.035215	0.003315	0.011819
