Node	X	Y	Z
15699	0.034248	0.20605	0.015493
15700	0.032672	0.20564	0.015156
15701	0.031088	0.20522	0.014813
15702	0.029514	0.20481	0.014466
15703	0.027936	0.20522	0.014813
15704	0.026347	0.20564	0.015156
15705	0.024766	0.20605	0.015493
15706	0.023175	0.20647	0.015826
15707	0.021593	0.20688	0.016152
15708	0.033307	0.2048	0.014463
15709	0.035208	0.2053	0.014881
15710	0.037097	0.2058	0.015288
15711	0.04	0.20131	0.0099005
15712	0.04	0.20231	0.010876
15713	0.04	0.2063	0.014405
15714	0.04	0.2073	0.015208
15715	0.059	0.20131	0.0099005
15716	0.059	0.20232	0.010891
15717	0.059	0.2063	0.014405
15718	0.059	0.2073	0.015208
15719	0.057116	0.20282	0.011357
15720	0.055215	0.20332	0.011819
15721	0.053327	0.20381	0.012268
15722	0.051422	0.20431	0.012713
15723	0.053307	0.2048	0.013146
15724	0.055208	0.2053	0.013575
15725	0.057096	0.2058	0.013992
15726	0.0495	0.2038	0.012263
15727	0.047908	0.20339	0.011883
15728	0.046328	0.20297	0.0115
15729	0.044738	0.20255	0.011108
15730	0.043161	0.20214	0.010713
15731	0.041574	0.20172	0.010308
15732	0.057426	0.20172	0.010308
15733	0.055839	0.20214	0.010713
15734	0.054262	0.20255	0.011108
15735	0.052672	0.20297	0.0115
15736	0.051092	0.20339	0.011883
15737	0.049514	0.20481	0.01315
15738	0.047936	0.20522	0.013505
15739	0.046347	0.20564	0.013857
15740	0.044766	0.20605	0.014202
15741	0.043176	0.20647	0.014543
15742	0.041593	0.20688	0.014877
15743	0.057412	0.20688	0.014877
15744	0.055834	0.20647	0.014543
15745	0.054248	0.20605	0.014202
15746	0.052672	0.20564	0.013857
15747	0.051088	0.20522	0.013505
15748	0.047595	0.2043	0.012709
15749	0.045686	0.2038	0.012262
15750	0.043794	0.20331	0.01181
15751	0.041888	0.20281	0.011346
15752	0.041908	0.2058	0.013991
15753	0.043801	0.2053	0.013573
15754	0.045706	0.2048	0.013143
15755	0.041908	0.2058	0.015287
15756	0.0438	0.2053	0.014879
15757	0.045705	0.2048	0.01446
15758	0.04	0.2063	0.015691
15759	0.047595	0.2043	0.014037
15760	0.045686	0.2038	0.013601
15761	0.043794	0.20331	0.01316
15762	0.041888	0.20281	0.012708
15763	0.04	0.20231	0.012251
15764	0.057412	0.20688	0.016152
15765	0.055834	0.20647	0.015826
