BodyID	Node	X	Y	Z
-340403.0	24544			
-340403.0	24543			
-340403.0	24541	0.0295	0.056803	0.030176
-340403.0	24542	0.02475	0.056803	0.030176
-340403.0	24540	0.03425	0.056803	0.030176
-340403.0	24546			
-340403.0	24539	0.02	0.056803	0.030176
-340401.0	24551	0.00475	0.056803	0.030176
-340401.0	24553			
-340401.0	24554			
-340401.0	24549	0.01425	0.056803	0.030176
-340401.0	24550	0.0095	0.056803	0.030176
-340401.0	24548	0.0	0.056803	0.030176
-340401.0	24552			
-340401.0	24547	0.019	0.056803	0.030176
-340401.0	24555			
-340399.0	24564			
-340399.0	24557	0.0	0.049803	0.030509
-340399.0	24560	0.00475	0.049803	0.030509
-340399.0	24561			
-340399.0	24558	0.01425	0.049803	0.030509
-340399.0	24559	0.0095	0.049803	0.030509
-340399.0	24556	0.019	0.049803	0.030509
-340399.0	24563			
-340399.0	24562			
-340397.0	24570			
-340397.0	24571			
-340397.0	24569	0.02475	0.049803	0.030509
-340397.0	24567	0.03425	0.049803	0.030509
-340397.0	24565	0.039	0.049803	0.030509
-340397.0	24568	0.0295	0.049803	0.030509
-340397.0	24573			
-340397.0	24566	0.02	0.049803	0.030509
-340397.0	24572			
-340395.0	24577	0.0495	0.049803	0.030509
-340395.0	24576	0.05425	0.049803	0.030509
-340395.0	24575	0.04	0.049803	0.030509
-340395.0	24582			
-340395.0	24578	0.04475	0.049803	0.030509
-340395.0	24579			
-340395.0	24580			
-340395.0	24574	0.059	0.049803	0.030509
-340395.0	24581			
-340393.0	24589			
-340393.0	24587	0.04475	0.042803	0.030136
-340393.0	24588			
-340393.0	24584	0.04	0.042803	0.030136
-340393.0	24585	0.05425	0.042803	0.030136
-340393.0	24586	0.0495	0.042803	0.030136
-340393.0	24583	0.059	0.042803	0.030136
-340393.0	24590			
-340393.0	24591			
-340391.0	24599			
-340391.0	24594	0.03425	0.042803	0.030136
-340391.0	24596	0.02475	0.042803	0.030136
-340391.0	24597			
-340391.0	24598			
-340391.0	24600			
-340391.0	24595	0.0295	0.042803	0.030136
-340391.0	24592	0.039	0.042803	0.030136
-340391.0	24593	0.02	0.042803	0.030136
-340389.0	24609			
-340389.0	24606			
-340389.0	24602	0.0	0.042803	0.030136
-340389.0	24607			
-340389.0	24601	0.019	0.042803	0.030136
-340389.0	24603	0.01425	0.042803	0.030136
-340389.0	24608			
-340389.0	24604	0.0095	0.042803	0.030136
-340389.0	24605	0.00475	0.042803	0.030136
-340387.0	24610	0.039	0.035803	0.029044
-340387.0	24611	0.02	0.035803	0.029044
-340387.0	24614	0.02475	0.035803	0.029044
-340387.0	24612	0.03425	0.035803	0.029044
-340387.0	24617			
-340387.0	24616			
-340387.0	24618			
-340387.0	24613	0.0295	0.035803	0.029044
-340387.0	24615			
-340385.0	24620	0.0	0.035803	0.029044
-340385.0	24622	0.0095	0.035803	0.029044
-340385.0	24623	0.00475	0.035803	0.029044
-340385.0	24624			
-340385.0	24625			
-340385.0	24626			
-340385.0	24627			
-340385.0	24619	0.019	0.035803	0.029044
-340385.0	24621	0.01425	0.035803	0.029044
-340383.0	24628	0.059	0.035803	0.029044
-340383.0	24635			
-340383.0	24629	0.04	0.035803	0.029044
-340383.0	24630	0.05425	0.035803	0.029044
-340383.0	24631	0.0495	0.035803	0.029044
-340383.0	24632	0.04475	0.035803	0.029044
-340383.0	24633			
-340383.0	24636			
-340383.0	24634			
-340381.0	24641	0.04475	0.028803	0.027198
-340381.0	24638	0.04	0.028803	0.027198
-340381.0	24637	0.059	0.028803	0.027198
-340381.0	24643			
-340381.0	24645			
-340381.0	24644			
-340381.0	24639	0.05425	0.028803	0.027198
-340381.0	24640	0.0495	0.028803	0.027198
-340381.0	24642			
-340379.0	24646	0.039	0.028803	0.027198
-340379.0	24653			
-340379.0	24650	0.02475	0.028803	0.027198
-340379.0	24651			
-340379.0	24652			
-340379.0	24647	0.02	0.028803	0.027198
-340379.0	24648	0.03425	0.028803	0.027198
-340379.0	24654			
-340379.0	24649	0.0295	0.028803	0.027198
-340377.0	24662			
-340377.0	24663			
-340377.0	24661			
-340377.0	24660			
-340377.0	24659	0.00475	0.028803	0.027198
-340377.0	24658	0.0095	0.028803	0.027198
-340377.0	24655	0.019	0.028803	0.027198
-340377.0	24657	0.01425	0.028803	0.027198
