Beam	Node	X	Y	Z	track	arch	original
Beam_3_1_15	16040	0.053326	0.095807	0.013941	3	1	98
Beam_3_1_15	16045	0.04792	0.096224	0.013578	3	1	98
Beam_3_1_15	15991	0.04792	0.096224	0.012239	3	1	98
Beam_3_1_15	16055	0.051103	0.096224	0.013578	3	1	98
Beam_3_1_15	15989	0.051104	0.096224	0.012239	3	1	98
Beam_3_1_15	16061	0.043794	0.096301	0.01351	3	1	98
Beam_3_1_15	15977	0.043794	0.096301	0.012169	3	1	98
Beam_3_1_15	16039	0.055214	0.096303	0.013508	3	1	98
Beam_3_1_15	16004	0.055215	0.096303	0.012167	3	1	98
Beam_3_1_15	15992	0.046337	0.096638	0.011862	3	1	98
Beam_3_1_15	16046	0.046338	0.096638	0.013211	3	1	98
Beam_3_1_15	16054	0.052681	0.096638	0.013211	3	1	98
Beam_3_1_15	15988	0.052682	0.096638	0.011862	3	1	98
Beam_3_1_15	15976	0.041888	0.096801	0.011712	3	1	98
Beam_3_1_15	16060	0.041888	0.096801	0.013065	3	1	98
Beam_3_1_15	16003	0.057116	0.096802	0.011711	3	1	98
Beam_3_1_15	16038	0.057116	0.096802	0.013064	3	1	98
Beam_3_1_15	15993	0.044745	0.097055	0.011477	3	1	98
Beam_3_1_15	16047	0.044746	0.097055	0.012836	3	1	98
Beam_3_1_15	16053	0.054268	0.097055	0.012836	3	1	98
Beam_3_1_15	15987	0.054269	0.097055	0.011477	3	1	98
Beam_3_1_15	16048	0.043166	0.097468	0.012457	3	1	98
Beam_3_1_15	15994	0.043166	0.097468	0.011088	3	1	98
Beam_3_1_15	16052	0.055843	0.097468	0.012457	3	1	98
Beam_3_1_15	15986	0.055844	0.097468	0.011088	3	1	98
Beam_3_1_15	15995	0.041577	0.097884	0.010691	3	1	98
Beam_3_1_15	16049	0.041577	0.097884	0.01207	3	1	98
Beam_3_1_15	16051	0.057428	0.097884	0.01207	3	1	98
Beam_3_1_15	15985	0.057428	0.097884	0.010691	3	1	98
Beam_3_1_15	24377	0.04	0.098988	0.010367	3	1	98
Beam_3_1_15	24380	0.04475	0.098988	0.010367	3	1	98
Beam_3_1_15	24379	0.0495	0.098988	0.010367	3	1	98
Beam_3_1_15	24378	0.05425	0.098988	0.010367	3	1	98
Beam_3_1_15	24376	0.059	0.098988	0.010367	3	1	98
Beam_3_2_2	24773	0.04	0.10081	0.010193	3	2	9
Beam_3_2_2	24776	0.04475	0.10081	0.010193	3	2	9
Beam_3_2_2	24775	0.0495	0.10081	0.010193	3	2	9
Beam_3_2_2	24774	0.05425	0.10081	0.010193	3	2	9
Beam_3_2_2	24772	0.059	0.10081	0.010193	3	2	9
