Node Number	X Location (m)	Y Location (m)	Z Location (m)	
377	6.e-002	0.1805	-1.5015e-028	
378	5.5e-002	0.1805	-1.5015e-028	
379	5.e-002	0.1805	-1.5015e-028	
380	4.5e-002	0.1805	-1.5015e-028	
381	4.e-002	0.1805	-1.5015e-028	
382	3.5e-002	0.1805	-1.5015e-028	
383	3.e-002	0.1805	-1.5015e-028	
384	2.5e-002	0.1805	-1.5015e-028	
385	2.e-002	0.1805	-1.5015e-028	
386	1.5e-002	0.1805	-1.5015e-028	
387	1.e-002	0.1805	-1.5015e-028	
388	5.e-003	0.1805	-1.5015e-028	
389	6.5052e-019	0.1805	-1.5015e-028	
390	-5.e-003	0.1805	-1.5015e-028	
391	6.5e-002	0.1755	-1.4187e-028	
392	6.e-002	0.1755	-1.4187e-028	
393	5.5e-002	0.1755	-1.4187e-028	
394	5.e-002	0.1755	-1.4187e-028	
395	4.5e-002	0.1755	-1.4187e-028	
396	4.e-002	0.1755	-1.4187e-028	
397	3.5e-002	0.1755	-1.4187e-028	
398	3.e-002	0.1755	-1.4187e-028	
399	2.5e-002	0.1755	-1.4187e-028	
400	2.e-002	0.1755	-1.4187e-028	
401	1.5e-002	0.1755	-1.4187e-028	
402	1.e-002	0.1755	-1.4187e-028	
403	5.e-003	0.1755	-1.4187e-028	
404	-1.1276e-017	0.1755	-1.4187e-028	
405	-5.e-003	0.1755	-1.4187e-028	
406	6.5e-002	0.1705	-1.3359e-028	
407	6.e-002	0.1705	-1.3359e-028	
408	5.5e-002	0.1705	-1.3359e-028	
409	5.e-002	0.1705	-1.3359e-028	
410	4.5e-002	0.1705	-1.3359e-028	
411	4.e-002	0.1705	-1.3359e-028	
412	3.5e-002	0.1705	-1.3359e-028	
413	3.e-002	0.1705	-1.3359e-028	
414	2.5e-002	0.1705	-1.3359e-028	
415	2.e-002	0.1705	-1.3359e-028	
416	1.5e-002	0.1705	-1.3359e-028	
417	1.e-002	0.1705	-1.3359e-028	
418	5.e-003	0.1705	-1.3359e-028	
419	1.301e-018	0.1705	-1.3359e-028	
420	-5.e-003	0.1705	-1.3359e-028	
421	6.5e-002	0.1655	-1.2531e-028	
422	6.e-002	0.1655	-1.2531e-028	
423	5.5e-002	0.1655	-1.2531e-028	
424	5.e-002	0.1655	-1.2531e-028	
425	4.5e-002	0.1655	-1.2531e-028	
426	4.e-002	0.1655	-1.2531e-028	
427	3.5e-002	0.1655	-1.2531e-028	
428	3.e-002	0.1655	-1.2531e-028	
429	2.5e-002	0.1655	-1.2531e-028	
430	2.e-002	0.1655	-1.2531e-028	
431	1.5e-002	0.1655	-1.2531e-028	
432	1.e-002	0.1655	-1.2531e-028	
433	5.e-003	0.1655	-1.2531e-028	
434	3.4261e-017	0.1655	-1.2531e-028	
435	-5.e-003	0.1655	-1.2531e-028	
436	6.5e-002	0.1605	-1.1702e-028	
437	6.e-002	0.1605	-1.1702e-028	
438	5.5e-002	0.1605	-1.1702e-028	
439	5.e-002	0.1605	-1.1702e-028	
440	4.5e-002	0.1605	-1.1702e-028	
441	4.e-002	0.1605	-1.1702e-028	
442	3.5e-002	0.1605	-1.1702e-028	
443	3.e-002	0.1605	-1.1702e-028	
444	2.5e-002	0.1605	-1.1702e-028	
445	2.e-002	0.1605	-1.1702e-028	
446	1.5e-002	0.1605	-1.1702e-028	
447	1.e-002	0.1605	-1.1702e-028	
448	5.e-003	0.1605	-1.1702e-028	
449	-4.8572e-017	0.1605	-1.1702e-028	
450	-5.e-003	0.1605	-1.1702e-028	
451	6.5e-002	0.1555	-1.0874e-028	
452	6.e-002	0.1555	-1.0874e-028	
453	5.5e-002	0.1555	-1.0874e-028	
454	5.e-002	0.1555	-1.0874e-028	
455	4.5e-002	0.1555	-1.0874e-028	
456	4.e-002	0.1555	-1.0874e-028	
457	3.5e-002	0.1555	-1.0874e-028	
458	3.e-002	0.1555	-1.0874e-028	
459	2.5e-002	0.1555	-1.0874e-028	
460	2.e-002	0.1555	-1.0874e-028	
461	1.5e-002	0.1555	-1.0874e-028	
462	1.e-002	0.1555	-1.0874e-028	
463	5.e-003	0.1555	-1.0874e-028	
464	3.4911e-017	0.1555	-1.0874e-028	
465	-5.e-003	0.1555	-1.0874e-028	
466	6.5e-002	0.1505	-1.0046e-028	
467	6.e-002	0.1505	-1.0046e-028	
468	5.5e-002	0.1505	-1.0046e-028	
469	5.e-002	0.1505	-1.0046e-028	
470	4.5e-002	0.1505	-1.0046e-028	
471	4.e-002	0.1505	-1.0046e-028	
472	3.5e-002	0.1505	-1.0046e-028	
473	3.e-002	0.1505	-1.0046e-028	
474	2.5e-002	0.1505	-1.0046e-028	
475	2.e-002	0.1505	-1.0046e-028	
476	1.5e-002	0.1505	-1.0046e-028	
477	1.e-002	0.1505	-1.0046e-028	
478	5.e-003	0.1505	-1.0046e-028	
479	-1.1493e-017	0.1505	-1.0046e-028	
480	-5.e-003	0.1505	-1.0046e-028	
481	6.5e-002	0.1455	-9.2174e-029	
482	6.e-002	0.1455	-9.2174e-029	
483	5.5e-002	0.1455	-9.2174e-029	
484	5.e-002	0.1455	-9.2174e-029	
485	4.5e-002	0.1455	-9.2174e-029	
486	4.e-002	0.1455	-9.2174e-029	
487	3.5e-002	0.1455	-9.2174e-029	
488	3.e-002	0.1455	-9.2174e-029	
489	2.5e-002	0.1455	-9.2174e-029	
490	2.e-002	0.1455	-9.2174e-029	
491	1.5e-002	0.1455	-9.2174e-029	
492	1.e-002	0.1455	-9.2174e-029	
493	5.e-003	0.1455	-9.2174e-029	
494	-5.8547e-018	0.1455	-9.2174e-029	
495	-5.e-003	0.1455	-9.2174e-029	
496	6.5e-002	0.1405	-8.3891e-029	
497	6.e-002	0.1405	-8.3891e-029	
498	5.5e-002	0.1405	-8.3891e-029	
499	5.e-002	0.1405	-8.3891e-029	
500	4.5e-002	0.1405	-8.3891e-029	
501	4.e-002	0.1405	-8.3891e-029	
502	3.5e-002	0.1405	-8.3891e-029	
503	3.e-002	0.1405	-8.3891e-029	
504	2.5e-002	0.1405	-8.3891e-029	
505	2.e-002	0.1405	-8.3891e-029	
506	1.5e-002	0.1405	-8.3891e-029	
507	1.e-002	0.1405	-8.3891e-029	
508	5.e-003	0.1405	-8.3891e-029	
509	3.4261e-017	0.1405	-8.3891e-029	
510	-5.e-003	0.1405	-8.3891e-029	
511	6.5e-002	0.1355	-7.5608e-029	
512	6.e-002	0.1355	-7.5608e-029	
513	5.5e-002	0.1355	-7.5608e-029	
514	5.e-002	0.1355	-7.5608e-029	
515	4.5e-002	0.1355	-7.5608e-029	
516	4.e-002	0.1355	-7.5608e-029	
517	3.5e-002	0.1355	-7.5608e-029	
518	3.e-002	0.1355	-7.5608e-029	
519	2.5e-002	0.1355	-7.5608e-029	
520	2.e-002	0.1355	-7.5608e-029	
